location,bhk,areaType,square_feet,transaction,status,floorNum,totalFloor,furnishing,facing,price_per_sqft,price,built_up_area,latitude,longitude
palanpur,2,Super Area,1185,New Property,Ready to Move,5.0,14.0,Unfurnished,East,3784.0,0.45,1185,21.2184934,72.7777979
palanpur,2,Super Area,1204,New Property,Under Construction,7.0,14.0,Unfurnished,East,3838.0,0.46,1204,21.2184934,72.7777979
palanpur,2,Carpet Area,697,New Property,Under Construction,6.0,14.0,Unfurnished,East,4291.0,0.55,767,21.2184934,72.7777979
palanpur,3,Carpet Area,900,New Property,Under Construction,3.0,14.0,Unfurnished,East,3450.0,0.56,990,21.2184934,72.7777979
palanpur,2,Super Area,1315,New Property,Under Construction,6.0,13.0,Unfurnished,East,3991.0,0.53,1315,21.2184934,72.7777979
palanpur,2,Carpet Area,1650,Resale,Ready to Move,7.0,10.0,Unfurnished,East,3125.0,0.5,1815,21.2184934,72.7777979
palanpur,2,Super Area,1150,Resale,Ready to Move,1.0,7.0,Unfurnished,North - West,3304.0,0.38,1150,21.2184934,72.7777979
palanpur,2,Carpet Area,975,Resale,Under Construction,9.0,13.0,Unfurnished,South -West,3843.0,0.49,1072,21.2184934,72.7777979
palanpur,1,Carpet Area,731,Resale,Ready to Move,2.0,5.0,Unfurnished,East,2736.0,0.2,804,21.2184934,72.7777979
palanpur,1,Super Area,650,Resale,Ready to Move,4.0,5.0,Unfurnished,East,4462.0,0.29,650,21.2184934,72.7777979
palanpur,2,Carpet Area,700,New Property,Ready to Move,5.0,12.0,Unfurnished,East,4300.0,0.52,770,21.2184934,72.7777979
palanpur,2,Super Area,1250,New Property,Ready to Move,7.0,14.0,Unfurnished,South -West,3325.0,0.42,1250,21.2184934,72.7777979
palanpur,2,Super Area,1311,New Property,Under Construction,9.0,13.0,Unfurnished,South -West,4251.0,0.56,1311,21.2184934,72.7777979
palanpur,2,Carpet Area,665,Resale,Under Construction,4.0,13.0,Unfurnished,South -West,4257.0,0.52,732,21.2184934,72.7777979
palanpur,3,Super Area,1515,Resale,Ready to Move,3.0,5.0,Semi-Furnished,North - West,3960.0,0.6,1515,21.2184934,72.7777979
palanpur,2,Carpet Area,660,Resale,Ready to Move,4.0,5.0,Furnished,East,3932.0,0.46,726,21.2184934,72.7777979
palanpur,2,Super Area,1326,Resale,Ready to Move,9.0,14.0,Unfurnished,East,3771.0,0.5,1326,21.2184934,72.7777979
palanpur,2,Super Area,1311,New Property,Under Construction,7.0,13.0,Unfurnished,East,4251.0,0.56,1311,21.2184934,72.7777979
palanpur,2,Super Area,1251,Resale,Ready to Move,5.0,13.0,Semi-Furnished,South -West,4556.0,0.57,1251,21.2184934,72.7777979
palanpur,2,Super Area,1311,New Property,Under Construction,5.0,12.0,Unfurnished,South -West,4250.0,0.56,1311,21.2184934,72.7777979
palanpur,2,Carpet Area,707,Resale,Ready to Move,7.0,13.0,Unfurnished,East,3624.0,0.44,778,21.2184934,72.7777979
palanpur,2,Super Area,1225,New Property,Under Construction,6.0,13.0,Unfurnished,South -West,4204.0,0.52,1225,21.2184934,72.7777979
palanpur,2,Carpet Area,1265,Resale,Ready to Move,13.0,13.0,Unfurnished,East,3162.0,0.4,1392,21.2184934,72.7777979
palanpur,1,Carpet Area,441,Resale,Ready to Move,3.0,5.0,Unfurnished,South,3509.0,0.23,485,21.2184934,72.7777979
palanpur,3,Carpet Area,1327,Resale,Ready to Move,4.0,9.0,Furnished,North - West,2881.0,0.42,1460,21.2184934,72.7777979
palanpur,2,Super Area,850,Resale,Ready to Move,3.0,4.0,Unfurnished,North - West,2941.0,0.25,850,21.2184934,72.7777979
palanpur,2,Super Area,1041,Resale,Ready to Move,2.0,5.0,Unfurnished,North - West,3650.0,0.38,1041,21.2184934,72.7777979
palanpur,4,Carpet Area,1300,Resale,Ready to Move,0.0,2.0,Furnished,North - West,3461.538461538461,0.45,1430,21.2184934,72.7777979
palanpur,2,Super Area,1264,Resale,Ready to Move,13.0,14.0,Unfurnished,East,4351.0,0.55,1264,21.2184934,72.7777979
palanpur,2,Super Area,1150,Resale,Ready to Move,5.0,5.0,Semi-Furnished,North - West,2783.0,0.32,1150,21.2184934,72.7777979
palanpur,2,Carpet Area,1000,Resale,Ready to Move,3.0,5.0,Furnished,North - West,3077.0,0.4,1100,21.2184934,72.7777979
palanpur,2,Super Area,1035,Resale,Ready to Move,2.0,5.0,Furnished,North - West,4251.0,0.44,1035,21.2184934,72.7777979
palanpur,2,Carpet Area,1230,Resale,Ready to Move,9.0,13.0,Semi-Furnished,East,2439.0243902439024,0.3,1353,21.2184934,72.7777979
palanpur,2,Super Area,1100,Resale,Ready to Move,3.0,5.0,Unfurnished,East,3455.0,0.38,1100,21.2184934,72.7777979
palanpur,2,Carpet Area,950,Resale,Ready to Move,2.0,4.0,Semi-Furnished,North - East,3043.0,0.35,1045,21.2184934,72.7777979
palanpur,2,Carpet Area,750,Resale,Ready to Move,5.0,6.0,Semi-Furnished,East,3333.0,0.35,825,21.2184934,72.7777979
palanpur,2,Super Area,1250,Resale,Ready to Move,8.0,14.0,Furnished,East,4681.0,0.58,1250,21.2184934,72.7777979
palanpur,2,Super Area,1320,Resale,Under Construction,20.0,21.0,Unfurnished,North - West,4167.0,0.55,1320,21.2184934,72.7777979
palanpur,2,Super Area,1025,Resale,Ready to Move,5.0,6.0,Furnished,North - West,4683.0,0.48,1025,21.2184934,72.7777979
palanpur,2,Carpet Area,900,Resale,Ready to Move,10.0,13.0,Semi-Furnished,North - West,3527.0,0.45,990,21.2184934,72.7777979
palanpur,1,Super Area,756,Resale,Ready to Move,5.0,5.0,Unfurnished,North - West,1984.0,0.15,756,21.2184934,72.7777979
palanpur,1,Super Area,750,Resale,Ready to Move,4.0,4.0,Semi-Furnished,North - West,800.0,0.06,750,21.2184934,72.7777979
palanpur,2,Super Area,1256,Resale,Ready to Move,13.0,13.0,Furnished,East,3165.0,0.4,1256,21.2184934,72.7777979
palanpur,2,Super Area,800,Resale,Ready to Move,1.0,4.0,Semi-Furnished,North - West,2814.0,0.23,800,21.2184934,72.7777979
palanpur,3,Carpet Area,1200,Resale,Ready to Move,2.0,2.0,Semi-Furnished,North - West,3333.0,0.5,1320,21.2184934,72.7777979
palanpur,2,Super Area,1225,Resale,Ready to Move,1.0,5.0,Unfurnished,North - West,2449.0,0.3,1225,21.2184934,72.7777979
palanpur,1,Carpet Area,700,Resale,Ready to Move,9.0,12.0,Unfurnished,North - West,7714.285714285715,0.54,770,21.2184934,72.7777979
palanpur,2,Super Area,1150,Resale,Ready to Move,1.0,6.0,Furnished,North - West,4783.0,0.55,1150,21.2184934,72.7777979
palanpur,2,Super Area,862,Resale,Ready to Move,4.0,5.0,Semi-Furnished,North - West,3191.0,0.28,862,21.2184934,72.7777979
palanpur,2,Super Area,1100,Resale,Ready to Move,4.0,5.0,Furnished,North - West,3455.0,0.38,1100,21.2184934,72.7777979
palanpur,2,Super Area,1000,Resale,Ready to Move,1.0,5.0,Furnished,North - West,4000.0,0.4,1000,21.2184934,72.7777979
palanpur,2,Super Area,1025,Resale,Ready to Move,2.0,5.0,Semi-Furnished,North - West,2537.0,0.26,1025,21.2184934,72.7777979
palanpur,1,Super Area,475,Resale,Ready to Move,1.0,5.0,Semi-Furnished,North - West,2632.0,0.12,475,21.2184934,72.7777979
palanpur,2,Carpet Area,600,Resale,Ready to Move,8.0,12.0,Semi-Furnished,South - East,3611.0,0.42,660,21.2184934,72.7777979
palanpur,1,Carpet Area,750,Resale,Ready to Move,2.0,4.0,Unfurnished,North - West,2666.6666666666665,0.2,825,21.2184934,72.7777979
palanpur,1,Carpet Area,410,Resale,Ready to Move,3.0,4.0,Furnished,North - West,2857.0,0.2,451,21.2184934,72.7777979
palanpur,2,Super Area,1200,Resale,Ready to Move,4.0,8.0,Unfurnished,North,3750.0,0.45,1200,21.2184934,72.7777979
palanpur,1,Super Area,750,Resale,Ready to Move,0.0,3.0,Semi-Furnished,North - West,2933.0,0.22,750,21.2184934,72.7777979
palanpur,2,Super Area,950,Resale,Ready to Move,1.0,5.0,Semi-Furnished,North - West,2947.0,0.28,950,21.2184934,72.7777979
palanpur,2,Super Area,1120,Resale,Ready to Move,5.0,13.0,Furnished,North - West,4018.0,0.45,1120,21.2184934,72.7777979
palanpur,1,Carpet Area,3,Resale,Ready to Move,2.0,7.0,Unfurnished,East,3429.0,0.12,3,21.2184934,72.7777979
palanpur,2,Super Area,648,Resale,Ready to Move,0.0,1.0,Unfurnished,North - West,3086.0,0.2,648,21.2184934,72.7777979
palanpur,2,Super Area,850,Resale,Ready to Move,4.0,5.0,Semi-Furnished,North - West,2588.0,0.22,850,21.2184934,72.7777979
palanpur,2,Carpet Area,1446,Resale,Ready to Move,4.0,4.0,Semi-Furnished,North - East,4006.0,0.4,1591,21.2184934,72.7777979
palanpur,2,Super Area,861,Resale,Ready to Move,4.0,4.0,Unfurnished,East,1220.0,0.1,861,21.2184934,72.7777979
palanpur,2,Carpet Area,734,Resale,Ready to Move,2.0,5.0,Furnished,East,2749.0,0.28,807,21.2184934,72.7777979
palanpur,4,Carpet Area,1650,Resale,Ready to Move,8.0,9.0,Semi-Furnished,East,3102.0,0.38,1815,21.2184934,72.7777979
palanpur,1,Carpet Area,440,Resale,Ready to Move,4.0,5.0,Semi-Furnished,North - West,3420.0,0.25,484,21.2184934,72.7777979
palanpur,3,Carpet Area,1110,Resale,Ready to Move,7.0,8.0,Unfurnished,East,4954.954954954955,0.55,1221,21.2184934,72.7777979
palanpur,2,Super Area,1092,New Property,Under Construction,14.0,14.0,Unfurnished,North - West,3200.0,0.35,1092,21.2184934,72.7777979
palanpur,2,Carpet Area,945,Resale,Ready to Move,4.0,4.0,Unfurnished,South,2787.0,0.34,1040,21.2184934,72.7777979
