location,latitude,longitude
palanpur,21.2184934,72.7777979
dindoli,21.1523213,72.8724865
pal,21.1967679,72.77827243191436
jahangirpura,21.231651,72.7908041
althan,21.1468732,72.8089552
athwalines,21.1700255,72.7883612
amroli,21.2375488,72.8505771
adajan,21.2651204,72.84991282218647
dumas road/hazira,21.082445,72.7172492
vesu,21.1371573,72.7887474
kamrej,21.2797773,72.948269
udhna,21.16377245,72.8612641330122
katargam,21.22882205,72.82530827127744
nanpura/gopipura/chauta/sagrampura,21.1898932,72.815368
sarthana/varachha,21.2301328,72.9008193
punagam,21.204674,72.873991
sachin,21.0778781,72.8744643
bardoli,21.1338291,73.1053896
kadodara,21.173694,72.958149
