property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price
"2 BHK Apartment for Sale in Pramukh Amaya, Palanpur Surat",Super Area,1311 sqft,Unfurnished,Poss. by Dec '24,New Property,Pramukh Amaya,2,"Multistorey Apartment for Sale in Palanpur, Surat. Covered area is 1311.0  Sq-ft. This property belongs to ""Pramukh Amaya"" .Read more","₹4,251 per sqft ",₹55.7 Lac 
"3 BHK Apartment for Sale in Orchid Gardenia, Palanpur Surat",Super Area,1586 sqft,Orchid Gardenia,New Property,Unfurnished,3,3,"Multistorey Apartment for Sale in Palanpur, Surat. Covered area is 1586.0  Sq-ft. This property belongs to ""Orchid Gardenia"" .Read more","₹3,751 per sqft ",₹59.5 Lac 
"2 BHK Apartment for Sale in Orchid Gardenia, Palanpur Surat",Super Area,1185 sqft,New Property,Ready to Move,5 out of 14,Unfurnished,East,2 BHK Flat For Sale In Palanpur area With All Luxurious Aminities And Good LocalityRead more,"₹3,784 per sqft ",₹44.8 Lac 
2 BHK Apartment for Sale in Dindoli Surat,Carpet Area,644 sqft,New Property,Poss. by Oct '24,5 out of 10,Unfurnished,West,"Luxury project with basement parking, Solar rooftop, Gym, Build with advanced machinery and standard materials that last long. Best project for under construction scheme for a happy family life.Read more","₹2,891 per sqft ",₹33.8 Lac 
"2 BHK Apartment for Sale in Sumerru Sky Leaf, Palanpur Surat",Super Area,1204 sqft,New Property,Poss. by Jan '26,7 out of 14,Unfurnished,East,"This 2 BHK flat is incredibly affordable, with the option to pay just 10 upfront and the remaining amount after possession through easy EMIs. Conveniently located within walking distance to the metro station, it offers hasslefree commuting. Enjoy the perfect blend of affordability and convenience in this wellsituated residence.Read more","₹3,838 per sqft ",₹46.2 Lac 
2 BHK Apartment for Sale in Palanpur Surat,Carpet Area,697 sqft,New Property,Poss. by May '25,6 out of 14,Unfurnished,East,"The project offers modern amenities such as an amphitheater, sewage treatment plant, senior citizen sitout, water conservation, rainwater harvesting, and 24x7 water supply.Read more","₹4,291 per sqft ",₹54.5 Lac 
2 BHK Apartment for Sale in Pal Surat,Super Area,1351 sqft,New Property,Poss. by Apr '25,5 out of 13,Unfurnished,South -West,2 And 3 BHK Luxurious Flat With Pentahouse For Sell In Pal Prime Area With All Aminities .Read more,"₹4,251 per sqft ",₹57.4 Lac 
"2 BHK Apartment for Sale in Siddhi Vinayak Elements, Jahangirabad Surat",Super Area,1278 sqft,Unfurnished,2 out of 13,Resale,East,Garden/Park,"NO BROKERAGE ON THIS PROPERTY. A 2bhk flat for sale in a luxurious high rise apartment with the facilities available like garden, children play  area, gym, Net cricket,  banquet hall, 2 automatic auto door lifts etcRead more","₹3,861 per sqft ",₹49.3 Lac 
3 BHK Apartment for Sale in Palanpur Surat,Carpet Area,900 sqft,New Property,Poss. by Dec '25,3 out of 14,Unfurnished,East,"Deck balcony with 3 layers parking,podium level amenitios 20000 sqft amenities space with 200 ft road touch ,.Read more","₹3,450 per sqft ",₹56.1 Lac 
"2 BHK Apartment for Sale in RAMESWARAM Ivaan, Palanpur Surat",Super Area,1315 sqft,New Property,Poss. by Nov '24,6 out of 13,Unfurnished,East,"This 2 bhk apartment is available for sale in Rameshvarm Ivaan , one of the most prominent projects for flats in palanpur, surat. The flat is over 1315 sq.Ft. Super built up area and comes with 2 bedrooms, 2 bathrooms and 1 balcony. This flat lies on the 5th level of a 13 storey building. This residential property is still under construction and will be available for possession by december 2024.Read more","₹3,991 per sqft ",₹52.5 Lac 
2 BHK Apartment for Sale in Godadara Surat,Super Area,1275 sqft,Resale,Poss. by May '26,5 out of 14,Unfurnished,East,location,"₹2,863 per sqft ",₹36.5 Lac 
2 BHK Apartment for Sale in NavYug College Surat,Carpet Area,1650 sqft,Resale,Ready to Move,7 out of 10,Unfurnished,East,"Presenting an exceptional 2 BHK flat for sale, strategically located near NavYug College on Rander Road, Surat. This residence combines modern living with convenience, offering a perfect blend of comfort and accessibility.   Property Specifications   Discover a spacious haven with a carpet area of 1650 sqft on the 7th floor of a 10-story building. The flat is unfurnished, allowing you the freedom to customize your living space according to your style and preferences.   The 2-bedroom layout includes 2 western-style bathrooms, with one attached to the master bedroom and another serving as a common facility. Enjoy the luxury of an attached balcony overlooking the main road, seamlessly connected to the hall. The residence features a separate living and dining area, ensuring privacy and functional space. Additionally, a convenient store room adds to the practicality of the home.   The kitchen is designed for efficiency, equipped with a normal layout, platform, and sink. A piped gas connection is available for your cooking convenience, and a utility area is attached to the kitchen. The entire space is adorned with ceramic tiles, providing a contemporary and easy-to-maintain flooring solution. The property is vaastu compliant, and its east-facing orientation brings in ample natural light.   Facilities   Experience the ease of living with covered parking for your vehicle. Enjoy uninterrupted living with 24-hour water supply sourced from the corporation. The property comes with 100 power backup, ensuring you never face disruptions. Your security is our priority, with a dedicated security guard and CCTV surveillance. The building is equipped with 2 elevators for swift and convenient access to your residence.   Locality   Situated near the Vijay Sales Showroom, this property is surrounded by educational institutions and healthcare facilities within a 1 to 2 km radius. Malls and supermarkets are also conveniently located, offering a range of shopping and entertainment options. Banks and ATMs in close proximity add to the convenience of daily life. For those relying on public transport, the property is well-connected. The railway station is 8 to 9 km away, providing easy access for commuters.Read more","₹3,125 per sqft ",₹50 Lac 
2 BHK Apartment for Sale in Palan Pur Patiya Surat,Super Area,1150 sqft,Unfurnished,1 out of 7,Resale,1,1,Multistorey Apartment is located at the advantageous 1st floor in a tower of total 7 floors. It is a relatively new property with construction age less than 5 yrs.Read more,"₹3,304 per sqft ",₹38 Lac 
