property_name,bhk,areaWithType,square_feet,transaction,status,floorNum,totalFloor,furnishing,facing,description,price_per_sqft,price
"2 BHK Apartment for Sale in Pramukh Amaya, Palanpur Surat",2,Super Area,1311,New Property,Poss. by Dec '24,NA,NA,Unfurnished,NA,"Multistorey Apartment for Sale in Palanpur, Surat. Covered area is 1311.0  Sq-ft. This property belongs to ""Pramukh Amaya"" .Read more",4251.0,0.56
"3 BHK Apartment for Sale in Orchid Gardenia, Palanpur Surat",3,Super Area,1586,New Property,New Property,NA,NA,Unfurnished,NA,"Multistorey Apartment for Sale in Palanpur, Surat. Covered area is 1586.0  Sq-ft. This property belongs to ""Orchid Gardenia"" .Read more",3751.0,0.59
"2 BHK Apartment for Sale in Orchid Gardenia, Palanpur Surat",2,Super Area,1185,New Property,Ready to Move,5,14,Unfurnished,East,2 BHK Flat For Sale In Palanpur area With All Luxurious Aminities And Good LocalityRead more,3784.0,0.45
2 BHK Apartment for Sale in Dindoli Surat,2,Carpet Area,644,New Property,Poss. by Oct '24,5,10,Unfurnished,West,"Luxury project with basement parking, Solar rooftop, Gym, Build with advanced machinery and standard materials that last long. Best project for under construction scheme for a happy family life.Read more",2891.0,0.34
"2 BHK Apartment for Sale in Sumerru Sky Leaf, Palanpur Surat",2,Super Area,1204,New Property,Poss. by Jan '26,7,14,Unfurnished,East,"This 2 BHK flat is incredibly affordable, with the option to pay just 10 upfront and the remaining amount after possession through easy EMIs. Conveniently located within walking distance to the metro station, it offers hasslefree commuting. Enjoy the perfect blend of affordability and convenience in this wellsituated residence.Read more",3838.0,0.46
2 BHK Apartment for Sale in Palanpur Surat,2,Carpet Area,697,New Property,Poss. by May '25,6,14,Unfurnished,East,"The project offers modern amenities such as an amphitheater, sewage treatment plant, senior citizen sitout, water conservation, rainwater harvesting, and 24x7 water supply.Read more",4291.0,0.55
2 BHK Apartment for Sale in Pal Surat,2,Super Area,1351,New Property,Poss. by Apr '25,5,13,Unfurnished,South -West,2 And 3 BHK Luxurious Flat With Pentahouse For Sell In Pal Prime Area With All Aminities .Read more,4251.0,0.57
"2 BHK Apartment for Sale in Siddhi Vinayak Elements, Jahangirabad Surat",2,Super Area,1278,Resale,2 out of 13,2,13,Unfurnished,East,"NO BROKERAGE ON THIS PROPERTY. A 2bhk flat for sale in a luxurious high rise apartment with the facilities available like garden, children play  area, gym, Net cricket,  banquet hall, 2 automatic auto door lifts etcRead more",3861.0,0.49
3 BHK Apartment for Sale in Palanpur Surat,3,Carpet Area,900,New Property,Poss. by Dec '25,3,14,Unfurnished,East,"Deck balcony with 3 layers parking,podium level amenitios 20000 sqft amenities space with 200 ft road touch ,.Read more",3450.0,0.56
"2 BHK Apartment for Sale in RAMESWARAM Ivaan, Palanpur Surat",2,Super Area,1315,New Property,Poss. by Nov '24,6,13,Unfurnished,East,"This 2 bhk apartment is available for sale in Rameshvarm Ivaan , one of the most prominent projects for flats in palanpur, surat. The flat is over 1315 sq.Ft. Super built up area and comes with 2 bedrooms, 2 bathrooms and 1 balcony. This flat lies on the 5th level of a 13 storey building. This residential property is still under construction and will be available for possession by december 2024.Read more",3991.0,0.53
