location,bhk,transaction,status,furnishing,facing,price,built_up_area,floor_category,bathroom,luxury_category
palanpur,2,New Property,Ready to Move,Unfurnished,East,0.45,1185,Mid Floor,1,Medium
dindoli,2,New Property,Under Construction,Unfurnished,West,0.34,708,Mid Floor,1,Low
palanpur,2,New Property,Under Construction,Unfurnished,East,0.46,1204,Mid Floor,1,Medium
palanpur,2,New Property,Under Construction,Unfurnished,East,0.55,767,Mid Floor,1,Low
pal,2,New Property,Under Construction,Unfurnished,South -West,0.57,1351,Mid Floor,1,Medium
jahangirpura,2,Resale,Ready to Move,Unfurnished,East,0.49,1278,Low Floor,1,Low
palanpur,3,New Property,Under Construction,Unfurnished,East,0.56,990,Mid Floor,2,Medium
palanpur,2,New Property,Under Construction,Unfurnished,East,0.53,1315,Mid Floor,1,Medium
dindoli,2,Resale,Under Construction,Unfurnished,East,0.36,1275,Mid Floor,1,Medium
palanpur,2,Resale,Ready to Move,Unfurnished,East,0.5,1815,Mid Floor,1,Medium
palanpur,2,Resale,Ready to Move,Unfurnished,North - West,0.38,1150,Low Floor,1,Low
althan,2,Resale,Ready to Move,Semi-Furnished,East,0.52,990,Low Floor,1,Low
palanpur,2,Resale,Under Construction,Unfurnished,South -West,0.49,1072,Mid Floor,1,Low
dindoli,3,New Property,Under Construction,Unfurnished,North - East,0.36,1511,Mid Floor,2,Medium
dindoli,1,Resale,Ready to Move,Semi-Furnished,East,0.22,601,Low Floor,1,Low
jahangirpura,2,Resale,Ready to Move,Unfurnished,East,0.39,1050,Mid Floor,1,Low
athwalines,2,Resale,Ready to Move,Unfurnished,East,0.45,1200,Mid Floor,1,Medium
palanpur,1,Resale,Ready to Move,Unfurnished,East,0.2,804,Low Floor,1,Low
pal,3,Resale,Ready to Move,Semi-Furnished,North - West,0.56,1760,Low Floor,2,Medium
pal,3,Resale,Ready to Move,Semi-Furnished,East,0.62,1540,Mid Floor,2,Medium
amroli,2,Resale,Ready to Move,Unfurnished,West,0.29,1045,Mid Floor,1,Low
palanpur,1,Resale,Ready to Move,Unfurnished,East,0.29,650,Mid Floor,1,Low
palanpur,2,New Property,Ready to Move,Unfurnished,East,0.52,770,Mid Floor,1,Low
palanpur,2,New Property,Ready to Move,Unfurnished,South -West,0.42,1250,Mid Floor,1,Medium
althan,2,New Property,Ready to Move,Unfurnished,East,0.43,1168,Mid Floor,1,Medium
