location,bhk,built_up_area,transaction,status,furnishing,facing,bathroom,floor_category,luxury_category,price
palanpur,2,1185,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.45
dindoli,2,708,New Property,Under Construction,Unfurnished,West,1,Mid Floor,Low,0.34
palanpur,2,1204,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.46
palanpur,2,767,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Low,0.55
pal,2,1351,New Property,Under Construction,Unfurnished,South -West,1,Mid Floor,Medium,0.57
jahangirpura,2,1278,Resale,Ready to Move,Unfurnished,East,1,Low Floor,Low,0.49
palanpur,3,990,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.56
palanpur,2,1315,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.53
dindoli,2,1275,Resale,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.36
palanpur,2,1815,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.5
palanpur,2,1150,Resale,Ready to Move,Unfurnished,North - West,1,Low Floor,Low,0.38
althan,2,990,Resale,Ready to Move,Semi-Furnished,East,1,Low Floor,Low,0.52
palanpur,2,1072,Resale,Under Construction,Unfurnished,South -West,1,Mid Floor,Low,0.49
dindoli,3,1511,New Property,Under Construction,Unfurnished,North - East,2,Mid Floor,Medium,0.36
dindoli,1,601,Resale,Ready to Move,Semi-Furnished,East,1,Low Floor,Low,0.22
jahangirpura,2,1050,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.39
athwalines,2,1200,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.45
palanpur,1,804,Resale,Ready to Move,Unfurnished,East,1,Low Floor,Low,0.2
pal,3,1760,Resale,Ready to Move,Semi-Furnished,North - West,2,Low Floor,Medium,0.56
pal,3,1540,Resale,Ready to Move,Semi-Furnished,East,2,Mid Floor,Medium,0.62
amroli,2,1045,Resale,Ready to Move,Unfurnished,West,1,Mid Floor,Low,0.29
palanpur,1,650,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.29
palanpur,2,770,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.52
palanpur,2,1250,New Property,Ready to Move,Unfurnished,South -West,1,Mid Floor,Medium,0.42
althan,2,1168,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.43
althan,2,1252,Resale,Ready to Move,Unfurnished,South - East,1,Mid Floor,Medium,0.44
adajan,2,1155,Resale,Ready to Move,Unfurnished,North - East,1,Mid Floor,Medium,0.38
pal,2,1300,Resale,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.5
althan,2,1278,New Property,Under Construction,Unfurnished,South -West,1,Mid Floor,Medium,0.45
amroli,2,1240,New Property,Ready to Move,Unfurnished,South - East,1,Mid Floor,Medium,0.45
palanpur,2,1311,New Property,Under Construction,Unfurnished,South -West,1,Mid Floor,Medium,0.56
athwalines,3,1800,Resale,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.6
palanpur,2,732,Resale,Under Construction,Unfurnished,South -West,1,Mid Floor,Low,0.52
jahangirpura,2,880,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.4
pal,2,1322,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.55
althan,2,935,Resale,Ready to Move,Furnished,South - East,1,Mid Floor,Medium,0.45
palanpur,3,1515,Resale,Ready to Move,Semi-Furnished,North - West,2,Mid Floor,Medium,0.6
jahangirpura,2,880,New Property,Under Construction,Unfurnished,North - West,1,Mid Floor,Low,0.38
althan,2,1173,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Medium,0.56
palanpur,2,726,Resale,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.46
palanpur,2,1326,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.5
jahangirpura,3,1680,New Property,Ready to Move,Unfurnished,East,2,Mid Floor,Medium,0.59
jahangirpura,2,1170,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Medium,0.39
pal,3,1630,Resale,Ready to Move,Unfurnished,South -West,2,Low Floor,Medium,0.51
palanpur,2,1311,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.56
jahangirpura,3,88,Resale,Ready to Move,Unfurnished,East,2,Low Floor,Low,0.36
dumas road/hazira,3,1050,Resale,Ready to Move,Furnished,East,2,Mid Floor,Medium,0.55
pal,2,1205,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Medium,0.45
dindoli,2,757,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Low,0.45
palanpur,2,1251,Resale,Ready to Move,Semi-Furnished,South -West,1,Mid Floor,Medium,0.57
pal,2,1307,New Property,Ready to Move,Unfurnished,South -West,1,Mid Floor,Medium,0.56
vesu,2,771,New Property,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.59
athwalines,2,1354,Resale,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.54
pal,2,858,Resale,Ready to Move,Furnished,East,1,Mid Floor,Medium,0.48
jahangirpura,2,1320,Resale,Ready to Move,Unfurnished,East,1,Low Floor,Low,0.35
althan,2,1305,New Property,Under Construction,Unfurnished,East,1,Mid Floor,Medium,0.5
jahangirpura,2,1228,Resale,Ready to Move,Semi-Furnished,East,1,Low Floor,Medium,0.35
althan,1,1190,Resale,Ready to Move,Furnished,East,1,High Floor,Medium,0.43
palanpur,2,778,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.44
jahangirpura,2,660,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.32
adajan,2,1110,Resale,Ready to Move,Semi-Furnished,South -West,1,Mid Floor,Medium,0.42
adajan,2,970,Resale,Ready to Move,Semi-Furnished,East,1,Mid Floor,Medium,0.3
vesu,2,825,Resale,Ready to Move,Unfurnished,North - East,1,Mid Floor,Low,0.6
dindoli,3,1900,New Property,Under Construction,Unfurnished,East,2,Mid Floor,Medium,0.53
amroli,1,660,Resale,Ready to Move,Unfurnished,North - West,1,Mid Floor,Low,0.2
kamrej,2,1045,Resale,Ready to Move,Furnished,North - West,1,Low Floor,Medium,0.31
palanpur,2,1225,New Property,Under Construction,Unfurnished,South -West,1,Mid Floor,Medium,0.52
jahangirpura,2,743,Resale,Ready to Move,Unfurnished,East,1,Mid Floor,Low,0.38
